([98.34, 6.279], [7, 'minkowski', 'inverse_distance', 'mutual_info_score'])
([92.57, 6.853], [7, 'minkowski', 'inverse_distance', 'ridge'])
([98.65, 5.046], [7, 'cosine', 'inverse_distance', 'uniform'])
([98.27, 6.103], [7, 'cosine', 'inverse_distance', 'mutual_info_score'])
([91.86, 7.39], [7, 'cosine', 'inverse_distance', 'ridge'])
([91.73, 7.531], [7, 'clark', 'inverse_distance', 'uniform'])
([91.73, 9.756], [7, 'clark', 'inverse_distance', 'mutual_info_score'])
([86.68, 10.585], [7, 'clark', 'inverse_distance', 'ridge'])
([98.56, 4.96], [7, 'minkowski', 'sheppard', 'uniform'])
([98.34, 5.481], [7, 'minkowski', 'sheppard', 'mutual_info_score'])
([92.57, 6.874], [7, 'minkowski', 'sheppard', 'ridge'])
([98.65, 5.027], [7, 'cosine', 'sheppard', 'uniform'])
([98.27, 5.718], [7, 'cosine', 'sheppard', 'mutual_info_score'])
([91.86, 6.956], [7, 'cosine', 'sheppard', 'ridge'])
([91.73, 7.084], [7, 'clark', 'sheppard', 'uniform'])
([91.73, 8.447], [7, 'clark', 'sheppard', 'mutual_info_score'])
([86.68, 10.617], [7, 'clark', 'sheppard', 'ridge'])
