([49.29, 0.341], [7, 'minkowski', 'inverse_distance', 'mutual_info_score'])
([60.0, 0.412], [7, 'minkowski', 'inverse_distance', 'ridge'])
([21.92, 0.139], [7, 'cosine', 'inverse_distance', 'uniform'])
([50.71, 0.257], [7, 'cosine', 'inverse_distance', 'mutual_info_score'])
([57.47, 0.395], [7, 'cosine', 'inverse_distance', 'ridge'])
([32.53, 0.152], [7, 'clark', 'inverse_distance', 'uniform'])
([47.58, 0.276], [7, 'clark', 'inverse_distance', 'mutual_info_score'])
([56.46, 0.401], [7, 'clark', 'inverse_distance', 'ridge'])
([28.69, 0.133], [7, 'minkowski', 'sheppard', 'uniform'])
([49.29, 0.275], [7, 'minkowski', 'sheppard', 'mutual_info_score'])
([60.0, 0.423], [7, 'minkowski', 'sheppard', 'ridge'])
([21.92, 0.139], [7, 'cosine', 'sheppard', 'uniform'])
([50.71, 0.259], [7, 'cosine', 'sheppard', 'mutual_info_score'])
([57.47, 0.382], [7, 'cosine', 'sheppard', 'ridge'])
([32.53, 0.133], [7, 'clark', 'sheppard', 'uniform'])
([47.58, 0.268], [7, 'clark', 'sheppard', 'mutual_info_score'])
([56.46, 0.431], [7, 'clark', 'sheppard', 'ridge'])
